0,2022,08,13,0824,B,HD0546,1
1,2022,08,13,0829,B,HD0547,1
2,2022,08,13,0834,B,HD0548,1
3,2022,08,13,0839,B,HD0549,1
4,2022,08,13,0844,B,HD0550,1
5,2022,08,13,0849,B,HD0551,1
6,2022,08,13,0854,B,HD0552,1
7,2022,08,13,0859,B,HD0553,1
8,2022,08,13,0904,B,HD0554,1
9,2022,08,13,0909,B,HD0555,1
10,2022,08,13,0914,B,HD0556,1
11,2022,08,13,0919,B,HD0557,1
12,2022,08,13,0924,B,HD0558,1
13,2022,08,13,0929,B,HD0559,1
14,2022,08,13,0934,B,HD0560,1
15,2022,08,13,0939,B,HD0561,1
16,2022,08,13,0944,B,HD0562,1
17,2022,08,13,0949,B,HD0563,1
18,2022,08,13,0954,B,HD0564,1
19,2022,08,13,0959,B,HD0565,1
20,2022,08,13,1004,B,HD0566,1
21,2022,08,13,1009,B,HD0567,1
22,2022,08,13,1014,B,HD0568,1
23,2022,08,13,1019,B,HD0569,1
24,2022,08,13,1024,B,HD0570,1
25,2022,08,13,1029,B,HD0571,1
26,2022,08,13,1034,B,HD0572,1
27,2022,08,13,1039,B,HD0573,1
28,2022,08,13,1044,B,HD0574,1
29,2022,08,13,1049,B,HD0575,1
30,2022,08,13,1054,B,HD0576,1
31,2022,08,13,1059,B,HD0577,1
32,2022,08,13,1104,B,HD0578,1
33,2022,08,13,1109,B,HD0579,1
34,2022,08,13,1114,B,HD0580,1
35,2022,08,13,1119,B,HD0581,1
36,2022,08,13,1124,B,HD0582,1
37,2022,08,13,1129,B,HD0583,1
38,2022,08,13,1134,B,HD0584,1
39,2022,08,13,1139,B,HD0585,1
40,2022,08,13,1144,B,HD0586,1
41,2022,08,13,1149,B,HD0587,1
42,2022,08,13,1154,B,HD0588,1
43,2022,08,13,1159,B,HD0589,1
44,2022,08,13,1204,B,HD0590,1
45,2022,08,13,1246,B,HD0591,1
46,2022,08,13,1251,B,HD0592,1
47,2022,08,13,1256,B,HD0593,1
48,2022,08,13,1301,B,HD0594,1
49,2022,08,13,1306,B,HD0595,1
50,2022,08,13,1311,B,HD0596,1
51,2022,08,13,1316,B,HD0597,1
52,2022,08,13,1321,B,HD0598,1
53,2022,08,13,1326,B,HD0599,1
54,2022,08,13,1331,B,HD0600,1
55,2022,08,13,1336,B,HD0601,1
56,2022,08,13,1341,B,HD0602,1
57,2022,08,13,1346,B,HD0603,1
58,2022,08,13,1351,B,HD0604,1
59,2022,08,13,1356,B,HD0605,1
60,2022,08,13,1401,B,HD0606,1
61,2022,08,13,1406,B,HD0607,1
62,2022,08,13,1411,B,HD0608,1
63,2022,08,13,1416,B,HD0609,1
64,2022,08,13,1421,B,HD0610,1
65,2022,08,13,1426,B,HD0611,1
66,2022,08,13,1431,B,HD0612,1
67,2022,08,13,1436,B,HD0613,1
68,2022,08,13,1441,B,HD0614,1
69,2022,08,13,1446,B,HD0615,1
70,2022,08,13,1451,B,HD0616,1
71,2022,08,13,1456,B,HD0617,1
72,2022,08,13,1501,B,HD0618,1
73,2022,08,13,1506,B,HD0619,1
74,2022,08,13,1511,B,HD0620,1
75,2022,08,13,1516,B,HD0621,1
76,2022,08,13,1521,B,HD0622,1
77,2022,08,13,1526,B,HD0623,1
78,2022,08,13,1531,B,HD0624,1
79,2022,08,13,1536,B,HD0625,1
80,2022,08,13,1541,B,HD0626,1
81,2022,08,13,1546,B,HD0627,1
82,2022,08,13,1551,B,HD0628,1
83,2022,08,13,1556,B,HD0629,1
84,2022,08,13,1601,B,HD0630,1
85,2022,08,13,1606,B,HD0631,1
86,2022,08,13,1611,B,HD0632,1
87,2022,08,13,1616,B,HD0633,1
88,2022,08,13,1621,B,HD0634,1
89,2022,08,13,1626,B,HD0635,1
90,2022,08,13,1631,B,HD0636,1
91,2022,08,13,1636,B,HD0637,1
92,2022,08,13,1641,B,HD0638,1
93,2022,08,13,1646,B,HD0639,1
94,2022,08,13,1651,B,HD0640,1
95,2022,08,13,1656,B,HD0641,1
96,2022,08,13,1701,B,HD0642,1
97,2022,08,13,1706,B,HD0643,1
98,2022,08,13,1711,B,HD0644,1
99,2022,08,13,1716,B,HD0645,1
100,2022,08,13,1721,B,HD0646,1
101,2022,08,13,1726,B,HD0647,1
102,2022,08,13,1731,B,HD0648,1
103,2022,08,13,1736,B,HD0649,1
104,2022,08,13,1741,B,HD0650,1
105,2022,08,13,1746,B,HD0651,1
106,2022,08,13,1751,B,HD0652,1
107,2022,08,13,1756,B,HD0653,1
108,2022,08,13,1801,B,HD0654,1
109,2022,08,13,1806,B,HD0655,1
110,2022,08,13,1811,B,HD0656,1
111,2022,08,13,1816,B,HD0657,1
112,2022,08,13,1821,B,HD0658,1
113,2022,08,13,1826,B,HD0659,1
114,2022,08,13,1831,B,HD0660,1
115,2022,08,13,1836,B,HD0661,1
116,2022,08,13,1841,B,HD0662,1
117,2022,08,13,1846,B,HD0663,1
118,2022,08,13,1851,B,HD0664,1
119,2022,08,13,1856,B,HD0665,1
120,2022,08,13,1901,B,HD0666,1
121,2022,08,13,1906,B,HD0667,1
122,2022,08,13,1911,B,HD0668,1
123,2022,08,13,1916,B,HD0669,1
124,2022,08,13,1921,B,HD0670,1
125,2022,08,13,1926,B,HD0671,1
126,2022,08,13,1931,B,HD0672,1
127,2022,08,13,1936,B,HD0673,1
128,2022,08,13,1941,B,HD0674,1
129,2022,08,13,1946,B,HD0675,1
130,2022,08,13,1951,B,HD0676,1
131,2022,08,13,1956,B,HD0677,1
132,2022,08,13,2001,B,HD0678,1
133,2022,08,13,2006,B,HD0679,1
134,2022,08,13,2011,B,HD0680,1
135,2022,08,13,2016,B,HD0681,1
136,2022,08,13,2021,B,HD0682,1
137,2022,08,13,2026,B,HD0683,1
138,2022,08,13,2031,B,HD0684,1
139,2022,08,13,2036,B,HD0685,1
140,2022,08,13,2041,B,HD0686,1
141,2022,08,13,2046,B,HD0687,1
142,2022,08,13,2051,B,HD0688,1
143,2022,08,13,2056,B,HD0689,1
144,2022,08,13,2101,B,HD0690,1
145,2022,08,13,2106,B,HD0691,1
146,2022,08,13,2111,B,HD0692,1
147,2022,08,13,2116,B,HD0693,1
148,2022,08,13,2121,B,HD0694,1
149,2022,08,13,2126,B,HD0695,1
150,2022,08,13,2131,B,HD0696,1
151,2022,08,13,2136,B,HD0697,1
152,2022,08,13,2141,B,HD0698,1
153,2022,08,13,2146,B,HD0699,1
154,2022,08,13,2151,B,HD0700,1
155,2022,08,13,2156,B,HD0701,1
156,2022,08,13,2201,B,HD0702,1
157,2022,08,13,2206,B,HD0703,1
158,2022,08,13,2211,B,HD0704,1
159,2022,08,13,2216,B,HD0705,1
160,2022,08,13,2221,B,HD0706,1
161,2022,08,13,2226,B,HD0707,1
162,2022,08,13,2231,B,HD0708,1
163,2022,08,13,2236,B,HD0709,1
164,2022,08,13,2241,B,HD0710,1
165,2022,08,13,2246,B,HD0711,1
166,2022,08,13,2251,B,HD0712,1
167,2022,08,13,2256,B,HD0713,1
168,2022,08,13,2301,B,HD0714,1
169,2022,08,13,2306,B,HD0715,1
170,2022,08,13,2311,B,HD0716,1
171,2022,08,13,2316,B,HD0717,1
172,2022,08,13,2321,B,HD0718,1
173,2022,08,13,2326,B,HD0719,1
174,2022,08,13,2331,B,HD0720,1
175,2022,08,13,2336,B,HD0721,1
176,2022,08,13,2341,B,HD0722,1
177,2022,08,13,2346,B,HD0723,1
178,2022,08,13,2351,B,HD0724,1
179,2022,08,13,2356,B,HD0725,1
180,2022,08,14,0001,B,HD0726,1
181,2022,08,14,0006,B,HD0727,1
182,2022,08,14,0011,B,HD0728,1
183,2022,08,14,0016,B,HD0729,1
184,2022,08,14,0021,B,HD0730,1
185,2022,08,14,0026,B,HD0731,1
186,2022,08,14,0031,B,HD0732,1
187,2022,08,14,0036,B,HD0733,1
188,2022,08,14,0041,B,HD0734,1
189,2022,08,14,0046,B,HD0735,1
190,2022,08,14,0051,B,HD0736,1
191,2022,08,14,0056,B,HD0737,1
192,2022,08,14,0101,B,HD0738,1
193,2022,08,14,0106,B,HD0739,1
194,2022,08,14,0111,B,HD0740,1
195,2022,08,14,0116,B,HD0741,1
196,2022,08,14,0121,B,HD0742,1
197,2022,08,14,0126,B,HD0743,1
198,2022,08,14,0131,B,HD0744,1
199,2022,08,14,0136,B,HD0745,1
200,2022,08,14,0141,B,HD0746,1
201,2022,08,14,0146,B,HD0747,1
202,2022,08,14,0151,B,HD0748,1
203,2022,08,14,0156,B,HD0749,1
204,2022,08,14,0201,B,HD0750,1
205,2022,08,14,0206,B,HD0751,1
206,2022,08,14,0211,B,HD0752,1
207,2022,08,14,0216,B,HD0753,1
208,2022,08,14,0221,B,HD0754,1
209,2022,08,14,0226,B,HD0755,1
210,2022,08,14,0231,B,HD0756,1
211,2022,08,14,0236,B,HD0757,1
212,2022,08,14,0241,B,HD0758,1
213,2022,08,14,0246,B,HD0759,1
214,2022,08,14,0251,B,HD0760,1
215,2022,08,14,0256,B,HD0761,1
216,2022,08,14,0301,B,HD0762,1
217,2022,08,14,0306,B,HD0763,1
218,2022,08,14,0311,B,HD0764,1
219,2022,08,14,0316,B,HD0765,1
220,2022,08,14,0321,B,HD0766,1
221,2022,08,14,0326,B,HD0767,1
222,2022,08,14,0331,B,HD0768,1
223,2022,08,14,0336,B,HD0769,1
224,2022,08,14,0341,B,HD0770,1
225,2022,08,14,0346,B,HD0771,1
226,2022,08,14,0351,B,HD0772,1
227,2022,08,14,0356,B,HD0773,1
228,2022,08,14,0401,B,HD0774,1
229,2022,08,14,0406,B,HD0775,1
230,2022,08,14,0411,B,HD0776,1
231,2022,08,14,0416,B,HD0777,1
232,2022,08,14,0421,B,HD0778,1
233,2022,08,14,0426,B,HD0779,1
234,2022,08,14,0431,B,HD0780,1
235,2022,08,14,0436,B,HD0781,1
236,2022,08,14,0441,B,HD0782,1
237,2022,08,14,0446,B,HD0783,1
238,2022,08,14,0451,B,HD0784,1
239,2022,08,14,0456,B,HD0785,1
240,2022,08,14,0501,B,HD0786,1
241,2022,08,14,0506,B,HD0787,1
242,2022,08,14,0511,B,HD0788,1
243,2022,08,14,0516,B,HD0789,1
244,2022,08,14,0521,B,HD0790,1
245,2022,08,14,0526,B,HD0791,1
246,2022,08,14,0531,B,HD0792,1
247,2022,08,14,0536,B,HD0793,1
248,2022,08,14,0541,B,HD0794,1
249,2022,08,14,0546,B,HD0795,1
250,2022,08,14,0551,B,HD0796,1
251,2022,08,14,0556,B,HD0797,1
252,2022,08,14,0601,B,HD0798,1
253,2022,08,14,0606,B,HD0799,1
254,2022,08,14,0611,B,HD0800,1
255,2022,08,14,0616,B,HD0801,1
256,2022,08,14,0621,B,HD0802,1
257,2022,08,14,0626,B,HD0803,1
258,2022,08,14,0631,B,HD0804,1
259,2022,08,14,0636,B,HD0805,1
260,2022,08,14,0641,B,HD0806,1
261,2022,08,14,0646,B,HD0807,1
262,2022,08,14,0651,B,HD0808,1
263,2022,08,14,0656,B,HD0809,1
264,2022,08,14,0701,B,HD0810,1
265,2022,08,14,0706,B,HD0811,1
266,2022,08,14,0711,B,HD0812,1
267,2022,08,14,0716,B,HD0813,1
268,2022,08,14,0721,B,HD0814,1
269,2022,08,14,0726,B,HD0815,1
270,2022,08,14,0731,B,HD0816,1
271,2022,08,14,0736,B,HD0817,1
272,2022,08,14,0741,B,HD0818,1
273,2022,08,14,0746,B,HD0819,1
274,2022,08,14,0751,B,HD0820,1
